exam_year,state,city,center_name,center_id,total_students,above_600_marks,above_700_marks,center_average_marks,center_median_marks,state_average_marks,state_median_marks,national_average_marks,national_median_marks,Ultra_High_Score_Ratio,High_Score_Ratio,Center_v_National_Gap,Center_v_State_Gap,Center_Std_Dev,Center_Skewness,Center_Kurtosis
2024,Uttar Pradesh,Ambedkar Nagar,New Light Nursery School,441705,467,3,0,133.36,93.0,192.71,137,217.16,163,0.0,0.006423982869379015,-83.79999999999998,-59.349999999999994,121.784,1.869,3.676
2024,Uttar Pradesh,Ghaziabad,Delhi Public School R.N Extn Meerut Rd Ghaziabad,440411,468,14,3,234.53,200.5,192.71,137,217.16,163,0.00641025641025641,0.03632478632478633,17.370000000000005,41.81999999999999,153.309,1.028,0.579
2024,Uttar Pradesh,Saharanpur,Alpine Public School,445507,469,13,0,181.85,133.0,192.71,137,217.16,163,0.0,0.02771855010660981,-35.31,-10.860000000000014,156.262,1.355,1.244
2024,Uttar Pradesh,Lucknow,Aps Academy,440849,416,13,0,191.35,115.0,192.71,137,217.16,163,0.0,0.03125,-25.810000000000002,-1.3600000000000136,173.171,1.078,0.056
2024,Uttar Pradesh,Ayodhya,Bhavdiya School,441508,348,8,0,151.03,96.0,192.71,137,217.16,163,0.0,0.022988505747126436,-66.13,-41.68000000000001,148.975,1.794,2.685
2024,Uttar Pradesh,Ghaziabad,Ch Chhabil Dass Public School,440416,464,9,0,130.34,84.0,192.71,137,217.16,163,0.0,0.01939655172413793,-86.82,-62.370000000000005,139.459,2.16,4.188
2024,Uttar Pradesh,Ambedkar Nagar,Takshila Academy,441702,518,12,0,216.87,178.5,192.71,137,217.16,163,0.0,0.023166023166023165,-0.28999999999999204,24.159999999999997,155.962,0.979,0.126
2024,Uttar Pradesh,Gonda,Shri Ragukul Vidya Peeth Gonda,443603,594,12,0,208.12,157.0,192.71,137,217.16,163,0.0,0.020202020202020204,-9.039999999999992,15.409999999999997,156.978,1.065,0.324
2024,Uttar Pradesh,Ayodhya,Urmila College Of Technology @ Management,441506,461,5,0,146.55,101.0,192.71,137,217.16,163,0.0,0.010845986984815618,-70.60999999999999,-46.16,128.891,1.709,2.94
2024,Uttar Pradesh,Lucknow,Lucknow Public School,440847,464,12,0,209.56,147.0,192.71,137,217.16,163,0.0,0.02586206896551724,-7.599999999999994,16.849999999999994,170.212,0.965,-0.151
2024,Uttar Pradesh,Saharanpur,Sh Chatinaya Techno School,445509,463,3,0,109.96,78.0,192.71,137,217.16,163,0.0,0.0064794816414686825,-107.2,-82.75000000000001,104.557,2.636,8.047
2024,Uttar Pradesh,Ayodhya,Udaya Public School,441501,568,15,0,205.71,155.0,192.71,137,217.16,163,0.0,0.02640845070422535,-11.449999999999989,13.0,157.182,1.129,0.539
2024,Uttar Pradesh,Ghaziabad,Uttam Sch For Girls Shastri Ngr Ghaziabad Up,440418,326,6,0,125.9,80.0,192.71,137,217.16,163,0.0,0.018404907975460124,-91.25999999999999,-66.81,138.199,2.162,4.246
2024,Uttar Pradesh,Lucknow,S A J School Sec-D Pkt-3 A S Golf City Lucknow,440840,465,9,0,192.59,135.0,192.71,137,217.16,163,0.0,0.01935483870967742,-24.569999999999993,-0.12000000000000455,158.438,1.18,0.437
2024,Uttar Pradesh,Sultanpur,Sunbeam School,445902,488,12,0,196.7,152.5,192.71,137,217.16,163,0.0,0.02459016393442623,-20.460000000000008,3.9899999999999807,149.309,1.189,0.865
2024,Uttar Pradesh,Lucknow,Seth M R Jaipuria School,440814,816,35,0,228.29,177.0,192.71,137,217.16,163,0.0,0.0428921568627451,11.129999999999995,35.579999999999984,166.843,0.962,0.015
2024,Uttar Pradesh,Deoria,St Xaivers School,443202,707,19,0,188.09,143.0,192.71,137,217.16,163,0.0,0.026874115983026876,-29.069999999999993,-4.6200000000000045,147.177,1.382,1.619
2024,Uttar Pradesh,Mathura,"Kanha Makhan Public School, Mathura",441303,516,19,0,240.81,196.5,192.71,137,217.16,163,0.0,0.03682170542635659,23.650000000000006,48.099999999999994,163.694,0.869,-0.144
2024,Uttar Pradesh,Varanasi,Tulsi Vidya Niketan,441131,512,14,0,154.96,96.5,192.71,137,217.16,163,0.0,0.02734375,-62.19999999999999,-37.75,148.787,1.739,2.491
2024,Uttar Pradesh,Prayagraj,Police Modern Sch Pac Dhoomanganj Allahabad Up,440225,392,6,0,157.83,100.0,192.71,137,217.16,163,0.0,0.015306122448979591,-59.329999999999984,-34.879999999999995,143.161,1.543,1.826
2024,Uttar Pradesh,Naugarh,Siddharth Pub School,445101,780,17,0,204.97,166.5,192.71,137,217.16,163,0.0,0.021794871794871794,-12.189999999999998,12.259999999999991,149.157,1.125,0.732
2024,Uttar Pradesh,Lucknow,S D S N Inter College Devri Rukhara Bkt Near Noble Academy,440813,810,37,1,234.98,182.5,192.71,137,217.16,163,0.0012345679012345679,0.04691358024691358,17.819999999999993,42.26999999999998,170.326,0.917,-0.096
2024,Uttar Pradesh,Sultanpur,Tiny Tots Public School,445905,483,4,0,124.07,87.0,192.71,137,217.16,163,0.0,0.008281573498964804,-93.09,-68.64000000000001,115.141,1.946,3.979
2024,Uttar Pradesh,Varanasi,Gyan Deep Academy Kandwa Chitaipur Varanasi Up,441109,703,26,0,226.68,179.0,192.71,137,217.16,163,0.0,0.03698435277382646,9.52000000000001,33.97,164.849,0.879,-0.102
2024,Uttar Pradesh,Prayagraj,Erny Memorial Sr. Sec. School,440222,464,6,0,156.47,101.0,192.71,137,217.16,163,0.0,0.01293103448275862,-60.69,-36.24000000000001,143.493,1.556,1.74
2024,Uttar Pradesh,Varanasi,R.S. Banaras Law College,441136,463,15,0,167.98,101.0,192.71,137,217.16,163,0.0,0.032397408207343416,-49.18000000000001,-24.730000000000018,166.462,1.565,1.535
2024,Uttar Pradesh,Mathura,"Delhi Public School, Refinary Nagar ,Mathura",441304,509,26,0,252.13,198.0,192.71,137,217.16,163,0.0,0.05108055009823183,34.97,59.41999999999999,170.411,0.83,-0.242
2024,Uttar Pradesh,Deoria,D.M.T Public School,443205,465,13,0,186.01,140.0,192.71,137,217.16,163,0.0,0.02795698924731183,-31.150000000000006,-6.700000000000017,147.685,1.35,1.314
2024,Uttar Pradesh,Lucknow,New Public College,440825,612,26,2,229.26,179.0,192.71,137,217.16,163,0.0032679738562091504,0.0457516339869281,12.099999999999994,36.54999999999998,167.844,0.919,-0.037
2024,Uttar Pradesh,Azamgarh,Sarvodaya Public School,441903,892,19,0,184.85,140.5,192.71,137,217.16,163,0.0,0.021300448430493273,-32.31,-7.860000000000014,148.063,1.274,1.096
2024,Uttar Pradesh,Hardoi,St Xavier''S High School,443802,515,7,0,167.7,121.0,192.71,137,217.16,163,0.0,0.013592233009708738,-49.46000000000001,-25.01000000000002,136.374,1.46,1.768
2024,Uttar Pradesh,Prayagraj,Jeevan Jyoti Pub High Sch Karchana Allahabad Up,440214,574,19,0,218.59,169.5,192.71,137,217.16,163,0.0,0.033101045296167246,1.4300000000000068,25.879999999999995,162.436,1.029,0.153
2024,Uttar Pradesh,Rai Bareilly,Dayanand Bachhrawan Pg College,445302,588,17,0,203.7,155.5,192.71,137,217.16,163,0.0,0.02891156462585034,-13.460000000000008,10.98999999999998,154.319,1.146,0.702
2024,Uttar Pradesh,Chandauli,Pm Shri Kendriya Vidyalaya,443001,963,26,1,191.94,143.0,192.71,137,217.16,163,0.0010384215991692627,0.028037383177570093,-25.22,-0.7700000000000102,153.126,1.197,0.774
2024,Uttar Pradesh,Varanasi,Gautam Valley Public School,441138,238,10,0,168.28,100.0,192.71,137,217.16,163,0.0,0.04201680672268908,-48.879999999999995,-24.430000000000007,163.781,1.458,1.239
2024,Uttar Pradesh,Azamgarh,Azamgarh Public School Kotila Azamgarh Up,441904,601,14,0,177.97,136.0,192.71,137,217.16,163,0.0,0.02329450915141431,-39.19,-14.740000000000009,142.905,1.423,1.721
2024,Uttar Pradesh,Lucknow,Kendriya Vidyalaya Gomti Nagar,440822,658,23,1,234.14,184.5,192.71,137,217.16,163,0.001519756838905775,0.0364741641337386,16.97999999999999,41.42999999999998,168.356,0.825,-0.305
2024,Uttar Pradesh,Varanasi,Sunbeam School Lahartara,441107,699,37,2,241.13,192.0,192.71,137,217.16,163,0.002861230329041488,0.055793991416309016,23.97,48.41999999999999,172.3,0.862,-0.193
2024,Uttar Pradesh,Rai Bareilly,Lucknow Public School,445305,186,3,0,131.03,85.0,192.71,137,217.16,163,0.0,0.016129032258064516,-86.13,-61.68000000000001,132.208,2.224,5.182
2024,Uttar Pradesh,Prayagraj,Prayag Public Sch Lalgopalganj Jharha Allahabad,440213,710,30,1,229.34,184.5,192.71,137,217.16,163,0.0014084507042253522,0.04366197183098591,12.180000000000007,36.629999999999995,167.493,0.871,-0.113
2024,Uttar Pradesh,Firozabad,Kids Corner Happy Sr Sec School,443401,708,15,0,210.9,171.0,192.71,137,217.16,163,0.0,0.0211864406779661,-6.259999999999991,18.189999999999998,148.944,1.04,0.5
2024,Uttar Pradesh,Lucknow,Vivekanand Modern Academy Bakshi Ka Talab Lucknow,440841,461,13,0,189.79,122.0,192.71,137,217.16,163,0.0,0.028199566160520606,-27.370000000000005,-2.920000000000016,168.235,1.132,0.269
2024,Uttar Pradesh,Ayodhya,Awadh Internationl School,441507,415,5,0,149.41,96.0,192.71,137,217.16,163,0.0,0.012048192771084338,-67.75,-43.30000000000001,138.103,1.631,2.063
2024,Uttar Pradesh,Lucknow,Chiranjiv Bharati School,440846,469,11,0,191.66,130.0,192.71,137,217.16,163,0.0,0.023454157782515993,-25.5,-1.0500000000000114,162.447,1.143,0.377
2024,Uttar Pradesh,Saharanpur,Brownwood Public School,445508,463,4,0,117.02,81.0,192.71,137,217.16,163,0.0,0.008639308855291577,-100.14,-75.69000000000001,112.925,2.367,6.322
